Method	AP	AP50	AP75	APs	APm	APl	AP-Person	AP-Other	AP-Car
R50-FPN_x3	5,675933461466716	7,018143614988824	6,547140488796037	2,090456112112643	6,536976938716424	12,07034630274449	0,010308706089156693	nan	11,341558216844277
R50-DC5_x1	5,587236409921341	7,2791015401864625	6,529223964619655	1,9059628532096418	6,582356850235993	11,834776759099917	0,012283034515218018	nan	11,162189785327461
X101-FPN_x3	6,210561398404018	7,504132183803655	7,012628400390741	2,6248774135190036	6,5565937849407705	12,536197722721578	0,011516676136120316	nan	12,409606120671917
R50-FPN_x1	5,800210060227339	7,313573354198795	6,789857069980891	2,331526264632069	6,616577696707402	11,918690333018143	0,023800812918250848	nan	11,576619307536431
R50-DC5_x3	6,119314911130157	7,7470345544246975	7,072797453604822	2,1099890768501988	6,81054790288872	12,578513632400371	0,010307531846698515	nan	12,228322290413615
R101-FPN_x3	5,73655299168835	7,0272377095335	6,536778025924315	2,4601396372234094	6,061383666638184	12,825932058621959	0,009505560365857816	nan	11,46360042301084
R50-C4_x3	4,988052173123449	6,499496734935778	5,849001953212202	2,190370004563192	5,734723572202141	11,189556250875537	0,0111062445724031	nan	9,964998101674496
R101-DC5_x3	5,762909072116371	7,2874189872762996	6,619540679603762	2,7751586335216767	5,9335553340750495	12,93566949207812	0,01759074746832107	nan	11,508227396764422
City-R50-FPN	4,956366751141901	6,257911042849974	5,896597856327462	2,70656763444405	5,470847380166436	10,413295845452692	0,005476634619983737	nan	9,907256867663818
R101-C4_x3	5,2376753068671915	6,78917020049364	6,239658270230672	2,1394567593338416	5,659275163512991	11,798903259244806	0,009894874122756993	nan	10,465455739611626
R50-C4_x1	5,3745591195662294	7,12827231787699	6,330761038800739	2,0785110398387405	6,2857913857070775	11,336519393239731	0,021488856119064204	nan	10,727629383013397
