Class_names,person,bird,cat,bear,bottle,wine glass,knife,pizza,cake,chair,bed,dining table,laptop,clock
person,289,0,0,0,17,17,0,0,0,68,0,0,0,17
bird,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cat,0,0,1,0,0,0,0,0,0,0,1,0,1,0
bear,0,0,0,4,0,0,0,0,0,0,0,0,0,0
bottle,17,0,0,0,1,1,0,0,0,4,0,0,0,1
wine glass,17,0,0,0,1,1,0,0,0,4,0,0,0,1
knife,0,0,0,0,0,0,1,1,1,0,0,1,0,0
pizza,0,0,0,0,0,0,1,1,1,0,0,1,0,0
cake,0,0,0,0,0,0,1,1,1,0,0,1,0,0
chair,68,0,0,0,4,4,0,0,0,16,0,0,0,4
bed,0,0,1,0,0,0,0,0,0,0,1,0,1,0
dining table,0,0,0,0,0,0,1,1,1,0,0,1,0,0
laptop,0,0,1,0,0,0,0,0,0,0,1,0,1,0
clock,17,0,0,0,1,1,0,0,0,4,0,0,0,1
